,index_content,word,nature,content_type,index_word
0,1,东西,ns,pos,1
1,1,收到,v,pos,2
2,1,这么久,r,pos,3
5,1,忘,v,pos,4
8,1,好评,v,pos,5
11,1,品牌,n,pos,6
13,1,值得,v,pos,7
14,1,信赖,n,pos,8
16,1,东西,ns,pos,9
17,1,整体,n,pos,10
20,1,个人感觉,n,pos,11
22,1,不错,a,pos,12
29,1,值得,v,pos,13
30,1,拥有,v,pos,14
32,2,安装,v,pos,1
33,2,师傅,nr,pos,2
36,2,力,n,pos,3
41,2,感谢,v,pos,4
45,3,安装,v,pos,1
48,3,满意,v,pos,2
49,4,电,n,pos,1
50,4,收到,v,pos,2
53,4,自营,vn,pos,3
54,4,商品,n,pos,4
58,4,发货,n,pos,5
59,4,速度,n,pos,6
62,4,品质,n,pos,7
64,4,保障,v,pos,8
66,4,安装,v,pos,9
67,4,效果,n,pos,10
70,4,宝贝,nr,pos,11
72,4,喜欢,v,pos,12
74,4,冬天,t,pos,13
76,4,小时,n,pos,14
78,4,热水,n,pos,15
81,4,自营,vn,pos,16
82,4,值得,v,pos,17
83,4,信赖,n,pos,18
85,4,值得,v,pos,19
86,4,推荐,v,pos,20
87,4,自营,vn,pos,21
91,5,几次,m,pos,1
94,5,评价,n,pos,2
97,5,产品,n,pos,3
99,5,满意,v,pos,4
101,5,加热,v,pos,5
103,5,保温,n,pos,6
104,5,时间,n,pos,7
105,5,长,a,pos,8
107,5,售后服务,l,pos,9
108,5,特别,d,pos,10
111,5,主动,b,pos,11
112,5,打电话,l,pos,12
113,5,询问,v,pos,13
114,5,送货,v,pos,14
115,5,情况,n,pos,15
116,5,帮,v,pos,16
119,5,安装,v,pos,17
121,5,非常感谢,i,pos,18
122,5,售后,n,pos,19
123,5,大姐,n,pos,20
125,5,服务,vn,pos,21
127,5,下次,t,pos,22
128,5,购买,v,pos,23
133,6,物美价廉,l,pos,1
136,6,特别,d,pos,2
137,6,划算,v,pos,3
141,6,加热,v,pos,4
142,6,速度,n,pos,5
145,6,家里,s,pos,6
148,6,不错,a,pos,7
149,6,特别,d,pos,8
151,7,价格合理,n,pos,1
153,7,配置,v,pos,2
155,7,高,a,pos,3
157,7,物美,nz,pos,4
158,7,价值,n,pos,5
159,8,老师,n,pos,1
161,8,装,v,pos,2
166,8,装修,v,pos,3
167,8,中,f,pos,4
170,8,试,v,pos,5
172,8,希望,v,pos,6
177,9,五分,m,pos,1
179,9,习惯,n,pos,2
181,9,送,v,pos,3
185,9,装,v,pos,4
194,9,装修,v,pos,5
196,9,中,f,pos,6
199,9,吊顶,n,pos,7
201,9,装,v,pos,8
206,9,话,n,pos,9
213,9,醉,v,pos,10
216,9,遥控器,n,pos,11
218,9,电池,n,pos,12
221,9,安装,v,pos,13
222,9,哥,n,pos,14
223,9,车里,s,pos,15
226,9,备用,v,pos,16
228,9,给装,v,pos,17
234,9,赠送,v,pos,18
236,9,电动牙刷,l,pos,19
238,9,空气,n,pos,20
239,9,净化器,n,pos,21
240,9,等待,v,pos,22
241,9,配送,v,pos,23
242,9,中,ns,pos,24
250,9,时间,n,pos,25
251,9,冰箱,n,pos,26
252,9,降,v,pos,27
254,9,洗衣机,n,pos,28
255,9,降,v,pos,29
257,9,降,v,pos,30
259,9,小厨,n,pos,31
260,9,宝降,nr,pos,32
262,9,烟灶,n,pos,33
263,9,套降,v,pos,34
266,9,客服,n,pos,35
268,9,上报,v,pos,36
269,9,解决,v,pos,37
271,9,电话,n,pos,38
272,9,通知,v,pos,39
273,9,等待,v,pos,40
274,9,中,ns,pos,41
279,10,安装,v,pos,1
281,10,小哥,n,pos,2
285,10,工作,vn,pos,3
287,10,尽心,d,pos,4
290,10,家,m,pos,5
292,10,老房子,n,pos,6
294,10,安装,v,pos,7
297,10,家,m,pos,8
299,10,费力,n,pos,9
301,10,安装,v,pos,10
304,10,不错,a,pos,11
307,10,整栋,m,pos,12
308,10,楼,n,pos,13
311,10,热水,n,pos,14
313,10,裙子,n,pos,15
314,10,只能,v,pos,16
316,10,装,v,pos,17
319,10,小哥,n,pos,18
320,10,点,m,pos,19
322,10,赞,v,pos,20
326,10,二个,m,pos,21
329,10,一如既往,i,pos,22
331,10,好用,v,pos,23
334,10,品牌,n,pos,24
336,10,质量,n,pos,25
339,11,前,f,pos,1
340,11,天下,s,pos,2
341,11,单买,v,pos,3
345,11,用上,v,pos,4
350,11,发现,v,pos,5
354,11,街上,s,pos,6
355,11,卖,v,pos,7
357,11,便宜,a,pos,8
360,11,店家,n,pos,9
364,11,网上,s,pos,10
366,11,他家,r,pos,11
367,11,贵,a,pos,12
372,11,老板,n,pos,13
373,11,面,n,pos,14
376,11,网上,s,pos,15
380,12,冲着,p,pos,1
382,12,以内,f,pos,2
384,12,变频,vn,pos,3
385,12,级,q,pos,4
386,12,能效,n,pos,5
388,12,制冷,v,pos,6
389,12,效果,n,pos,7
391,12,不错,a,pos,8
398,13,购物,n,pos,1
403,13,电器,n,pos,2
404,13,问,v,pos,3
407,13,型号,n,pos,4
413,13,型号,n,pos,5
416,13,相识,v,pos,6
424,13,家电,j,pos,7
430,13,下线,n,pos,8
433,13,安装,v,pos,9
434,13,师傅,nr,pos,10
441,13,挺好,a,pos,11
444,13,加热,v,pos,12
445,13,很快,d,pos,13
447,13,购物,n,pos,14
449,13,满意,v,pos,15
453,13,走用,v,pos,16
455,13,安装费,n,pos,17
456,13,花元,nr,pos,18
460,13,喷头,v,pos,19
463,13,槊,g,pos,20
464,13,料,n,pos,21
470,13,花,v,pos,22
471,13,伞,n,pos,23
473,13,安装,v,pos,24
480,13,麻烦,an,pos,25
483,14,物流,n,pos,1
487,14,早上,t,pos,2
488,14,送来,v,pos,3
491,14,中午,t,pos,4
494,14,安装,v,pos,5
497,14,安装,v,pos,6
502,14,安装,v,pos,7
503,14,师傅,nr,pos,8
507,14,负责,v,pos,9
517,14,效果,n,pos,10
521,14,售后,n,pos,11
522,14,确实,ad,pos,12
529,15,满意,v,pos,1
532,15,价格,n,pos,2
534,15,产品质量,n,pos,3
536,15,货运,n,pos,4
538,15,安装,v,pos,5
539,15,调试,vn,pos,6
541,15,工作人员,n,pos,7
542,15,服务态度,n,pos,8
546,15,售后服务,l,pos,9
552,16,收费,n,pos,1
553,16,安装,v,pos,2
554,16,速度,n,pos,3
555,16,很快,d,pos,4
557,16,管道,n,pos,5
558,16,走,v,pos,6
561,16,整齐,d,pos,7
563,16,不错,a,pos,8
567,17,几天,m,pos,1
571,17,想,v,pos,2
573,17,晒,v,pos,3
576,17,差点,n,pos,4
577,17,忘,v,pos,5
580,17,这款,r,pos,6
586,17,喜欢,v,pos,7
589,18,安装,v,pos,1
592,18,没用,v,pos,2
597,18,不多,d,pos,3
598,18,做,v,pos,4
599,18,评价,n,pos,5
601,18,凑,v,pos,6
