,index_content,word,nature,content_type,index_word,weight,amend_weight,ml_type
0,1,东西,ns,pos,1,0.0,0.0,pos
1,1,收到,v,pos,2,0.0,0.0,pos
2,1,这么久,r,pos,3,0.0,0.0,pos
3,1,忘,v,pos,4,0.0,0.0,pos
4,1,好评,v,pos,5,1.0,1.0,pos
5,1,品牌,n,pos,6,0.0,0.0,pos
6,1,值得,v,pos,7,1.0,1.0,pos
7,1,信赖,n,pos,8,1.0,1.0,pos
8,1,东西,ns,pos,9,0.0,0.0,pos
9,1,整体,n,pos,10,0.0,0.0,pos
10,1,个人感觉,n,pos,11,0.0,0.0,pos
11,1,不错,a,pos,12,0.0,0.0,pos
12,1,值得,v,pos,13,1.0,1.0,pos
13,1,拥有,v,pos,14,0.0,0.0,pos
14,2,安装,v,pos,1,0.0,0.0,pos
15,2,师傅,nr,pos,2,0.0,0.0,pos
16,2,力,n,pos,3,0.0,0.0,pos
17,2,感谢,v,pos,4,1.0,1.0,pos
18,3,安装,v,pos,1,0.0,0.0,pos
19,3,满意,v,pos,2,1.0,1.0,pos
20,4,电,n,pos,1,0.0,0.0,pos
21,4,收到,v,pos,2,0.0,0.0,pos
22,4,自营,vn,pos,3,0.0,0.0,pos
23,4,商品,n,pos,4,0.0,0.0,pos
24,4,发货,n,pos,5,0.0,0.0,pos
25,4,速度,n,pos,6,0.0,0.0,pos
26,4,品质,n,pos,7,0.0,0.0,pos
27,4,保障,v,pos,8,0.0,0.0,pos
28,4,安装,v,pos,9,0.0,0.0,pos
29,4,效果,n,pos,10,0.0,0.0,pos
30,4,宝贝,nr,pos,11,0.0,0.0,pos
31,4,喜欢,v,pos,12,1.0,1.0,pos
32,4,冬天,t,pos,13,0.0,0.0,pos
33,4,小时,n,pos,14,0.0,0.0,pos
34,4,热水,n,pos,15,0.0,0.0,pos
35,4,自营,vn,pos,16,0.0,0.0,pos
36,4,值得,v,pos,17,1.0,1.0,pos
37,4,信赖,n,pos,18,1.0,1.0,pos
38,4,值得,v,pos,19,1.0,1.0,pos
39,4,推荐,v,pos,20,0.0,0.0,pos
40,4,自营,vn,pos,21,0.0,0.0,pos
41,5,几次,m,pos,1,0.0,0.0,pos
42,5,评价,n,pos,2,0.0,0.0,pos
43,5,产品,n,pos,3,0.0,0.0,pos
44,5,满意,v,pos,4,1.0,1.0,pos
45,5,加热,v,pos,5,0.0,0.0,pos
46,5,保温,n,pos,6,0.0,0.0,pos
47,5,时间,n,pos,7,0.0,0.0,pos
48,5,长,a,pos,8,0.0,0.0,pos
49,5,售后服务,l,pos,9,0.0,0.0,pos
50,5,特别,d,pos,10,0.0,0.0,pos
51,5,主动,b,pos,11,0.0,0.0,pos
52,5,打电话,l,pos,12,0.0,0.0,pos
53,5,询问,v,pos,13,0.0,0.0,pos
54,5,送货,v,pos,14,0.0,0.0,pos
55,5,情况,n,pos,15,0.0,0.0,pos
56,5,帮,v,pos,16,0.0,0.0,pos
57,5,安装,v,pos,17,0.0,0.0,pos
58,5,非常感谢,i,pos,18,0.0,0.0,pos
59,5,售后,n,pos,19,0.0,0.0,pos
60,5,大姐,n,pos,20,0.0,0.0,pos
61,5,服务,vn,pos,21,0.0,0.0,pos
62,5,下次,t,pos,22,0.0,0.0,pos
63,5,购买,v,pos,23,0.0,0.0,pos
64,6,物美价廉,l,pos,1,1.0,1.0,pos
65,6,特别,d,pos,2,0.0,0.0,pos
66,6,划算,v,pos,3,0.0,0.0,pos
67,6,加热,v,pos,4,0.0,0.0,pos
68,6,速度,n,pos,5,0.0,0.0,pos
69,6,家里,s,pos,6,0.0,0.0,pos
70,6,不错,a,pos,7,0.0,0.0,pos
71,6,特别,d,pos,8,0.0,0.0,pos
72,7,价格合理,n,pos,1,0.0,0.0,
73,7,配置,v,pos,2,0.0,0.0,
74,7,高,a,pos,3,-1.0,-1.0,
75,7,物美,nz,pos,4,1.0,1.0,
76,7,价值,n,pos,5,0.0,0.0,
77,8,老师,n,pos,1,0.0,0.0,
78,8,装,v,pos,2,0.0,0.0,
79,8,装修,v,pos,3,0.0,0.0,
80,8,中,f,pos,4,0.0,0.0,
81,8,试,v,pos,5,0.0,0.0,
82,8,希望,v,pos,6,0.0,0.0,
83,9,五分,m,pos,1,0.0,0.0,
84,9,习惯,n,pos,2,0.0,0.0,
85,9,送,v,pos,3,0.0,0.0,
86,9,装,v,pos,4,0.0,0.0,
87,9,装修,v,pos,5,0.0,0.0,
88,9,中,f,pos,6,0.0,0.0,
89,9,吊顶,n,pos,7,0.0,0.0,
90,9,装,v,pos,8,0.0,0.0,
91,9,话,n,pos,9,0.0,0.0,
92,9,醉,v,pos,10,0.0,0.0,
93,9,遥控器,n,pos,11,0.0,0.0,
94,9,电池,n,pos,12,0.0,0.0,
95,9,安装,v,pos,13,0.0,0.0,
96,9,哥,n,pos,14,0.0,0.0,
97,9,车里,s,pos,15,0.0,0.0,
98,9,备用,v,pos,16,0.0,0.0,
99,9,给装,v,pos,17,0.0,0.0,
100,9,赠送,v,pos,18,0.0,0.0,
101,9,电动牙刷,l,pos,19,0.0,0.0,
102,9,空气,n,pos,20,0.0,0.0,
103,9,净化器,n,pos,21,0.0,0.0,
104,9,等待,v,pos,22,0.0,0.0,
105,9,配送,v,pos,23,0.0,0.0,
106,9,中,ns,pos,24,0.0,0.0,
107,9,时间,n,pos,25,0.0,0.0,
108,9,冰箱,n,pos,26,0.0,0.0,
109,9,降,v,pos,27,0.0,0.0,
110,9,洗衣机,n,pos,28,0.0,0.0,
111,9,降,v,pos,29,0.0,0.0,
112,9,降,v,pos,30,0.0,0.0,
113,9,小厨,n,pos,31,0.0,0.0,
114,9,宝降,nr,pos,32,0.0,0.0,
115,9,烟灶,n,pos,33,0.0,0.0,
116,9,套降,v,pos,34,0.0,0.0,
117,9,客服,n,pos,35,0.0,0.0,
118,9,上报,v,pos,36,0.0,0.0,
119,9,解决,v,pos,37,0.0,0.0,
120,9,电话,n,pos,38,0.0,0.0,
121,9,通知,v,pos,39,0.0,0.0,
122,9,等待,v,pos,40,0.0,0.0,
123,9,中,ns,pos,41,0.0,0.0,
124,10,安装,v,pos,1,0.0,0.0,pos
125,10,小哥,n,pos,2,0.0,0.0,pos
126,10,工作,vn,pos,3,0.0,0.0,pos
127,10,尽心,d,pos,4,0.0,0.0,pos
128,10,家,m,pos,5,0.0,0.0,pos
129,10,老房子,n,pos,6,0.0,0.0,pos
130,10,安装,v,pos,7,0.0,0.0,pos
131,10,家,m,pos,8,0.0,0.0,pos
132,10,费力,n,pos,9,0.0,0.0,pos
133,10,安装,v,pos,10,0.0,0.0,pos
134,10,不错,a,pos,11,0.0,0.0,pos
135,10,整栋,m,pos,12,0.0,0.0,pos
136,10,楼,n,pos,13,0.0,0.0,pos
137,10,热水,n,pos,14,0.0,0.0,pos
138,10,裙子,n,pos,15,0.0,0.0,pos
139,10,只能,v,pos,16,0.0,0.0,pos
140,10,装,v,pos,17,0.0,0.0,pos
141,10,小哥,n,pos,18,0.0,0.0,pos
142,10,点,m,pos,19,0.0,0.0,pos
143,10,赞,v,pos,20,1.0,1.0,pos
144,10,二个,m,pos,21,0.0,0.0,pos
145,10,一如既往,i,pos,22,0.0,0.0,pos
146,10,好用,v,pos,23,0.0,0.0,pos
147,10,品牌,n,pos,24,0.0,0.0,pos
148,10,质量,n,pos,25,0.0,0.0,pos
149,11,前,f,pos,1,0.0,0.0,neg
150,11,天下,s,pos,2,0.0,0.0,neg
151,11,单买,v,pos,3,0.0,0.0,neg
152,11,用上,v,pos,4,0.0,0.0,neg
153,11,发现,v,pos,5,0.0,0.0,neg
