source,target,book,weight
胡一刀,苗人凤,fei,14
苗人凤,胡一刀,fei,11
马春花,马行空,fei,17
马行空,马春花,fei,24
马行空,商宝震,fei,22
商宝震,马春花,fei,38
马春花,商宝震,fei,42
商宝震,马行空,fei,20
马行空,胡一刀,fei,3
马行空,苗人凤,fei,4
胡一刀,马行空,fei,3
苗人凤,马行空,fei,2
商宝震,阎基,fei,10
马行空,阎基,fei,17
阎基,马行空,fei,19
阎基,马春花,fei,5
阎基,商宝震,fei,7
马春花,阎基,fei,4
阎基,田归农,fei,4
田归农,马行空,fei,2
马行空,田归农,fei,4
田归农,阎基,fei,6
马春花,田归农,fei,6
田归农,马春花,fei,7
田归农,商宝震,fei,5
商宝震,田归农,fei,5
苗人凤,阎基,fei,2
苗人凤,商宝震,fei,3
苗人凤,田归农,fei,30
商宝震,苗人凤,fei,4
马春花,苗人凤,fei,1
田归农,苗人凤,fei,32
阎基,苗人凤,fei,2
胡一刀,胡夫人,fei,3
胡夫人,胡一刀,fei,1
苗人凤,南兰,fei,5
南兰,胡夫人,fei,1
南兰,胡一刀,fei,3
南兰,苗人凤,fei,7
胡一刀,南兰,fei,1
苗若兰,田归农,fei,2
苗若兰,苗人凤,fei,2
南兰,田归农,fei,7
商宝震,商老太,fei,30
马春花,商老太,fei,9
田归农,商老太,fei,3
商老太,田归农,fei,2
阎基,商老太,fei,18
商老太,阎基,fei,18
商老太,商宝震,fei,28
商老太,马行空,fei,20
马行空,商老太,fei,16
商宝震,胡一刀,fei,3
商老太,苗人凤,fei,2
商老太,胡一刀,fei,7
胡一刀,商宝震,fei,6
胡一刀,商老太,fei,5
商老太,马春花,fei,11
马春花,胡一刀,fei,6
胡斐,商老太,fei,36
商老太,胡斐,fei,35
商老太,平阿四,fei,1
商宝震,胡斐,fei,34
平阿四,马春花,fei,1
平阿四,马行空,fei,1
平阿四,胡斐,fei,2
胡斐,马春花,fei,89
胡斐,马行空,fei,10
胡斐,商宝震,fei,37
胡斐,胡一刀,fei,8
胡一刀,马春花,fei,4
胡一刀,胡斐,fei,14
马春花,胡斐,fei,77
胡斐,平阿四,fei,1
平阿四,商老太,fei,1
张召重,胡斐,fei,1
马行空,胡斐,fei,13
苗人凤,胡斐,fei,55
胡斐,阎基,fei,2
苗人凤,商老太,fei,1
马春花,福康安,fei,18
乾隆皇帝,胡斐,fei,1
乾隆皇帝,福康安,fei,3
福康安,胡斐,fei,58
胡斐,袁紫衣,fei,101
袁紫衣,胡斐,fei,100
袁紫衣,说不得,fei,1
说不得,胡斐,fei,2
说不得,袁紫衣,fei,1
袁紫衣,胡一刀,fei,2
胡一刀,袁紫衣,fei,2
胡斐,苗人凤,fei,56
莫大,胡斐,fei,1
莫大,苗人凤,fei,1
苗人凤,袁紫衣,fei,3
胡斐,说不得,fei,3
胡斐,莫大,fei,1
田归农,胡斐,fei,32
胡斐,田归农,fei,33
胡斐,程灵素,fei,194
程灵素,胡斐,fei,189
程灵素,袁紫衣,fei,30
袁紫衣,程灵素,fei,31
程灵素,苗人凤,fei,26
苗人凤,程灵素,fei,31
田归农,程灵素,fei,5
程灵素,田归农,fei,9
田归农,南兰,fei,7
田归农,田青文,fei,1
苗人凤,田青文,fei,2
田青文,田归农,fei,1
程灵素,田青文,fei,1
田青文,程灵素,fei,1
田青文,胡斐,fei,1
程灵素,胡一刀,fei,1
田归农,胡一刀,fei,1
程灵素,胡夫人,fei,1
胡斐,胡夫人,fei,1
苗人凤,胡夫人,fei,1
胡夫人,苗人凤,fei,1
马春花,程灵素,fei,48
程灵素,马春花,fei,48
程灵素,马行空,fei,3
李自成,胡斐,fei,1
袁紫衣,马春花,fei,1
马行空,程灵素,fei,1
苗人凤,马春花,fei,1
程灵素,商宝震,fei,9
商宝震,程灵素,fei,9
胡斐,福康安,fei,47
无尘道长,苗人凤,fei,1
袁紫衣,苗人凤,fei,2
袁紫衣,无尘道长,fei,3
文泰来,骆冰,fei,1
文泰来,胡斐,fei,2
文泰来,袁紫衣,fei,1
袁紫衣,骆冰,fei,1
骆冰,袁紫衣,fei,1
程灵素,福康安,fei,23
福康安,无尘道长,fei,3
福康安,袁紫衣,fei,5
袁紫衣,福康安,fei,5
无尘道长,胡斐,fei,3
无尘道长,袁紫衣,fei,1
福康安,马春花,fei,16
福康安,兆惠,fei,1
兆惠,福康安,fei,1
福康安,程灵素,fei,26
程灵素,说不得,fei,1
胡斐,汤沛,fei,11
汤沛,程灵素,fei,7
汤沛,胡斐,fei,11
程灵素,汤沛,fei,4
福康安,汤沛,fei,12
张召重,汤沛,fei,1
海兰弼,胡斐,fei,6
海兰弼,程灵素,fei,2
海兰弼,汤沛,fei,8
汤沛,海兰弼,fei,4
汤沛,福康安,fei,15
海兰弼,福康安,fei,4
石双英,福康安,fei,3
胡斐,石双英,fei,1
福康安,石双英,fei,1
石双英,汤沛,fei,2
石双英,胡斐,fei,1
石双英,海兰弼,fei,1
胡斐,海兰弼,fei,1
田归农,福康安,fei,6
汤沛,田归农,fei,9
田归农,汤沛,fei,6
汤沛,苗人凤,fei,1
田归农,海兰弼,fei,2
苗人凤,汤沛,fei,1
海兰弼,田归农,fei,1
福康安,田归农,fei,3
福康安,文泰来,fei,1
汤沛,石万嗔,fei,1
田归农,石万嗔,fei,1
海兰弼,石万嗔,fei,1
石万嗔,汤沛,fei,1
石万嗔,海兰弼,fei,1
石万嗔,福康安,fei,3
福康安,海兰弼,fei,1
福康安,乾隆皇帝,fei,1
福康安,陈家洛,fei,7
乾隆皇帝,汤沛,fei,1
陈家洛,汤沛,fei,1
陈家洛,福康安,fei,6
汤沛,陈家洛,fei,3
汤沛,石双英,fei,1
汤沛,霍青桐,fei,2
汤沛,袁士霄,fei,1
霍青桐,程灵素,fei,1
霍青桐,骆冰,fei,1
霍青桐,胡斐,fei,1
陈家洛,程灵素,fei,1
陈家洛,骆冰,fei,3
陈家洛,胡斐,fei,9
袁士霄,程灵素,fei,1
袁士霄,骆冰,fei,1
袁士霄,胡斐,fei,1
骆冰,汤沛,fei,1
汤沛,说不得,fei,1
说不得,汤沛,fei,1
程灵素,石万嗔,fei,36
胡斐,石万嗔,fei,12
程灵素,骆冰,fei,2
骆冰,程灵素,fei,1
程灵素,无尘道长,fei,1
无尘道长,福康安,fei,2
陆菲青,胡斐,fei,2
胡斐,陆菲青,fei,3
福康安,陆菲青,fei,6
陆菲青,福康安,fei,4
胡斐,陈家洛,fei,7
陈家洛,文泰来,fei,2
文泰来,陆菲青,fei,2
骆冰,陆菲青,fei,1
程灵素,余鱼同,fei,2
程灵素,李沅芷,fei,1
陆菲青,余鱼同,fei,2
陆菲青,李沅芷,fei,1
余鱼同,陆菲青,fei,1
余鱼同,福康安,fei,3
李沅芷,陆菲青,fei,1
李沅芷,福康安,fei,1
陆菲青,程灵素,fei,1
程灵素,陆菲青,fei,1
陆菲青,张召重,fei,1
福康安,张召重,fei,1
张召重,霍青桐,fei,1
张召重,陈家洛,fei,1
陆菲青,霍青桐,fei,1
陆菲青,陈家洛,fei,1
福康安,霍青桐,fei,1
霍青桐,文泰来,fei,1
霍青桐,福康安,fei,1
文泰来,程灵素,fei,1
文泰来,陈家洛,fei,1
陈家洛,余鱼同,fei,1
胡斐,余鱼同,fei,1
余鱼同,胡斐,fei,1
余鱼同,马春花,fei,2
陈家洛,马春花,fei,4
马春花,徐天宏,fei,1
福康安,徐天宏,fei,1
徐天宏,陈家洛,fei,1
徐天宏,福康安,fei,1
马春花,陈家洛,fei,3
商宝震,陈家洛,fei,1
马春花,无尘道长,fei,1
胡斐,骆冰,fei,1
石万嗔,程灵素,fei,32
石万嗔,胡斐,fei,14
石万嗔,马春花,fei,2
马春花,石万嗔,fei,2
石万嗔,苗人凤,fei,1
福康安,石万嗔,fei,2
南兰,胡斐,fei,6
胡斐,南兰,fei,4
南兰,苗若兰,fei,1
苗若兰,南兰,fei,1
苗若兰,胡斐,fei,1
胡一刀,田归农,fei,1
胡斐,乔峰,fei,1
胡斐,郭靖,fei,1
胡斐,令狐冲,fei,1
胡斐,杨过,fei,1
乔峰,商老太,fei,1
郭靖,商老太,fei,1
令狐冲,商老太,fei,1
杨过,商老太,fei,1
