source,target,book,weight
顾炎武,黄宗羲,lu,10
顾炎武,吕留良,lu,19
黄宗羲,顾炎武,lu,10
黄宗羲,吕留良,lu,12
吕留良,顾炎武,lu,14
吕留良,黄宗羲,lu,11
顾炎武,吴之荣,lu,13
黄宗羲,吴之荣,lu,2
吕留良,吴之荣,lu,2
吴之荣,顾炎武,lu,16
吴之荣,黄宗羲,lu,1
吴之荣,吕留良,lu,3
顾炎武,鳌拜,lu,3
黄宗羲,鳌拜,lu,1
吴之荣,鳌拜,lu,4
吕留良,鳌拜,lu,1
鳌拜,吕留良,lu,2
鳌拜,黄宗羲,lu,2
鳌拜,吴之荣,lu,3
鳌拜,顾炎武,lu,2
陈近南,吴六奇,lu,15
吴六奇,顾炎武,lu,11
吴六奇,黄宗羲,lu,3
顾炎武,吴六奇,lu,9
黄宗羲,吴六奇,lu,1
吴六奇,吕留良,lu,3
韦小宝,茅十八,lu,139
韦春花,茅十八,lu,1
韦春花,韦小宝,lu,1
茅十八,韦小宝,lu,143
茅十八,陈近南,lu,10
茅十八,鳌拜,lu,13
陈近南,茅十八,lu,9
陈近南,鳌拜,lu,9
鳌拜,茅十八,lu,11
韦小宝,鳌拜,lu,156
鳌拜,韦小宝,lu,158
韦小宝,吴三桂,lu,381
茅十八,吴三桂,lu,6
吴三桂,韦小宝,lu,367
吴三桂,茅十八,lu,4
韦小宝,徐达,lu,9
韦小宝,常遇春,lu,8
徐达,茅十八,lu,3
徐达,韦小宝,lu,7
常遇春,茅十八,lu,3
常遇春,韦小宝,lu,7
茅十八,徐达,lu,2
茅十八,常遇春,lu,2
茅十八,邓愈,lu,1
茅十八,陈友谅,lu,1
徐达,常遇春,lu,4
徐达,邓愈,lu,1
徐达,陈友谅,lu,1
韦小宝,邓愈,lu,1
韦小宝,陈友谅,lu,3
常遇春,徐达,lu,4
常遇春,邓愈,lu,1
常遇春,陈友谅,lu,1
邓愈,茅十八,lu,1
邓愈,韦小宝,lu,1
陈友谅,茅十八,lu,1
陈友谅,韦小宝,lu,2
韦小宝,赵钱孙,lu,3
赵钱孙,茅十八,lu,2
赵钱孙,韦小宝,lu,4
茅十八,赵钱孙,lu,1
鳌拜,陈近南,lu,7
陈近南,韦小宝,lu,163
韦小宝,小玄子,lu,69
小玄子,韦小宝,lu,71
小玄子,茅十八,lu,2
茅十八,小玄子,lu,2
鳌拜,小玄子,lu,5
小玄子,鳌拜,lu,4
韦小宝,索额图,lu,105
鳌拜,索额图,lu,33
索额图,鳌拜,lu,30
索额图,韦小宝,lu,97
海大富,韦小宝,lu,31
索额图,茅十八,lu,1
茅十八,索额图,lu,1
韦小宝,海大富,lu,43
海大富,索额图,lu,1
说不得,韦小宝,lu,10
鳌拜,海大富,lu,3
茅十八,关安基,lu,5
鳌拜,关安基,lu,4
韦小宝,关安基,lu,25
关安基,韦小宝,lu,32
关安基,鳌拜,lu,2
关安基,茅十八,lu,5
茅十八,海大富,lu,1
海大富,关安基,lu,1
关安基,海大富,lu,1
韦小宝,陈近南,lu,169
韦小宝,方大洪,lu,3
陈近南,方大洪,lu,5
方大洪,韦小宝,lu,5
陈近南,关安基,lu,12
鳌拜,方大洪,lu,1
方大洪,陈近南,lu,3
方大洪,关安基,lu,2
关安基,陈近南,lu,9
方大洪,吴三桂,lu,1
方大洪,鳌拜,lu,1
鳌拜,吴三桂,lu,10
陈近南,吴三桂,lu,32
吴三桂,陈近南,lu,33
吴三桂,方大洪,lu,1
吴三桂,关安基,lu,4
索额图,陈近南,lu,3
陈近南,海大富,lu,3
海大富,鳌拜,lu,1
海大富,陈近南,lu,3
陈近南,索额图,lu,2
韦小宝,周颠,lu,1
韦小宝,朱元璋,lu,11
海大富,周颠,lu,1
海大富,陈友谅,lu,1
海大富,朱元璋,lu,1
索额图,周颠,lu,1
索额图,陈友谅,lu,1
索额图,朱元璋,lu,1
周颠,韦小宝,lu,1
